date,exchange_rate_usd
8/1/88,2.0443
15/1/88,2.0313
22/1/88,2.0205
29/1/88,2.0182
5/2/88,2.016
12/2/88,2.0173
19/2/88,2.0189
26/2/88,2.013
4/3/88,2.0154
11/3/88,2.0131
18/3/88,2.0184
25/3/88,2.0132
31/3/88,2.0045
8/4/88,2.003
15/4/88,2.0019
22/4/88,2.0037
29/4/88,2.0016
6/5/88,2.0039
13/5/88,2.0052
20/5/88,2.0128
27/5/88,2.0168
3/6/88,2.0217
10/6/88,2.018
17/6/88,2.0246
24/6/88,2.0346
1/7/88,2.0483
8/7/88,2.0443
15/7/88,2.0503
22/7/88,2.0384
29/7/88,2.0378
5/8/88,2.0472
12/8/88,2.0397
19/8/88,2.0374
26/8/88,2.0329
2/9/88,2.0429
9/9/88,2.0375
16/9/88,2.0433
23/9/88,2.0406
30/9/88,2.0408
7/10/88,2.0389
14/10/88,2.024
21/10/88,2.0056
28/10/88,1.9998
4/11/88,1.9838
11/11/88,1.9693
18/11/88,1.9487
25/11/88,1.9402
2/12/88,1.9491
9/12/88,1.9418
16/12/88,1.9458
23/12/88,1.9435
30/12/88,1.9462
6/1/89,1.9409
13/1/89,1.941
20/1/89,1.9418
27/1/89,1.9342
3/2/89,1.929
10/2/89,1.9277
17/2/89,1.9228
24/2/89,1.9257
3/3/89,1.9331
10/3/89,1.94
17/3/89,1.938
23/3/89,1.9407
31/3/89,1.9589
7/4/89,1.9479
14/4/89,1.9516
21/4/89,1.9411
28/4/89,1.9485
5/5/89,1.9513
12/5/89,1.9548
18/5/89,1.9663
26/5/89,1.9512
2/6/89,1.9512
9/6/89,1.9516
16/6/89,1.9608
23/6/89,1.9527
30/6/89,1.966
7/7/89,1.9608
14/7/89,1.9568
21/7/89,1.9593
28/7/89,1.9569
4/8/89,1.9498
11/8/89,1.9515
18/8/89,1.9616
25/8/89,1.9683
1/9/89,1.9687
8/9/89,1.9787
15/9/89,1.9804
22/9/89,1.9802
29/9/89,1.9603
6/10/89,1.9664
13/10/89,1.9693
20/10/89,1.9567
27/10/89,1.961
3/11/89,1.958
10/11/89,1.9587
17/11/89,1.9601
24/11/89,1.9582
1/12/89,1.9468
8/12/89,1.9318
15/12/89,1.917
22/12/89,1.9026
29/12/89,1.8944
5/1/90,1.8983
12/1/90,1.895
19/1/90,1.8861
26/1/90,1.8773
2/2/90,1.8675
9/2/90,1.861
16/2/90,1.8663
23/2/90,1.8638
2/3/90,1.8764
9/3/90,1.8737
16/3/90,1.8731
23/3/90,1.8834
30/3/90,1.8843
6/4/90,1.8749
12/4/90,1.878
20/4/90,1.8767
27/4/90,1.8763
4/5/90,1.8765
11/5/90,1.8581
18/5/90,1.8545
25/5/90,1.8477
1/6/90,1.8525
8/6/90,1.8488
15/6/90,1.8484
22/6/90,1.8413
29/6/90,1.8396
6/7/90,1.8299
13/7/90,1.8133
20/7/90,1.8151
27/7/90,1.8207
3/8/90,1.8088
10/8/90,1.8038
17/8/90,1.7926
24/8/90,1.7765
31/8/90,1.7655
7/9/90,1.7635
14/9/90,1.7719
21/9/90,1.7661
28/9/90,1.7632
5/10/90,1.748
12/10/90,1.7271
19/10/90,1.7065
26/10/90,1.718
2/11/90,1.7058
9/11/90,1.71
16/11/90,1.7099
30/11/90,1.7185
7/12/90,1.7161
14/12/90,1.7101
21/12/90,1.7428
28/12/90,1.741
4/1/91,1.7448
11/1/91,1.759
18/1/91,1.7456
25/1/91,1.7273
1/2/91,1.7295
8/2/91,1.7155
14/2/91,1.7061
22/2/91,1.7172
1/3/91,1.7315
8/3/91,1.7438
15/3/91,1.753
22/3/91,1.7664
28/3/91,1.7931
5/4/91,1.7586
12/4/91,1.756
19/4/91,1.7765
26/4/91,1.772
3/5/91,1.7641
10/5/91,1.7665
17/5/91,1.7683
24/5/91,1.769
31/5/91,1.7649
7/6/91,1.7755
14/6/91,1.7882
21/6/91,1.7805
28/6/91,1.7655
5/7/91,1.7679
12/7/91,1.7639
19/7/91,1.7503
26/7/91,1.7526
2/8/91,1.7423
8/8/91,1.72
16/8/91,1.7252
23/8/91,1.7239
30/8/91,1.7195
6/9/91,1.7171
13/9/91,1.7017
20/9/91,1.696
27/9/91,1.6948
4/10/91,1.6875
11/10/91,1.694
18/10/91,1.6925
25/10/91,1.694
1/11/91,1.6879
8/11/91,1.6798
15/11/91,1.6756
22/11/91,1.6639
29/11/91,1.6643
6/12/91,1.6562
13/12/91,1.6526
20/12/91,1.6428
27/12/91,1.6283
3/1/92,1.6294
10/1/92,1.6335
17/1/92,1.6491
24/1/92,1.6377
31/1/92,1.6353
7/2/92,1.6266
14/2/92,1.6379
21/2/92,1.6441
28/2/92,1.6438
6/3/92,1.6553
13/3/92,1.6804
20/3/92,1.665
27/3/92,1.6642
3/4/92,1.6575
10/4/92,1.6483
16/4/92,1.6575
24/4/92,1.6577
30/4/92,1.6553
8/5/92,1.6503
15/5/92,1.6393
22/5/92,1.632
29/5/92,1.634
5/6/92,1.6275
12/6/92,1.6225
19/6/92,1.6228
26/6/92,1.6194
3/7/92,1.6166
10/7/92,1.6159
17/7/92,1.6106
24/7/92,1.6151
31/7/92,1.6126
7/8/92,1.6111
14/8/92,1.6096
21/8/92,1.6092
28/8/92,1.5996
4/9/92,1.5968
11/9/92,1.5966
18/9/92,1.6025
25/9/92,1.602
2/10/92,1.5916
9/10/92,1.6052
16/10/92,1.6068
23/10/92,1.6136
30/10/92,1.6187
6/11/92,1.6295
13/11/92,1.6343
20/11/92,1.634
27/11/92,1.6348
4/12/92,1.6413
11/12/92,1.6384
18/12/92,1.6392
24/12/92,1.6389
31/12/92,1.6449
8/1/93,1.6625
15/1/93,1.6586
22/1/93,1.6538
29/1/93,1.6423
5/2/93,1.653
12/2/93,1.6496
19/2/93,1.6457
26/2/93,1.6451
5/3/93,1.6435
12/3/93,1.6469
19/3/93,1.6426
26/3/93,1.6453
2/4/93,1.634
8/4/93,1.6265
16/4/93,1.6286
23/4/93,1.6175
30/4/93,1.6151
7/5/93,1.6109
14/5/93,1.6177
21/5/93,1.6151
28/5/93,1.6082
4/6/93,1.6044
11/6/93,1.6083
18/6/93,1.6169
25/6/93,1.6273
2/7/93,1.624
9/7/93,1.6233
16/7/93,1.6215
23/7/93,1.6176
30/7/93,1.6179
6/8/93,1.6139
13/8/93,1.6089
20/8/93,1.612
27/8/93,1.6067
3/9/93,1.6056
10/9/93,1.6
17/9/93,1.5949
24/9/93,1.5945
1/10/93,1.585
8/10/93,1.5662
15/10/93,1.5695
22/10/93,1.5718
29/10/93,1.5785
5/11/93,1.5928
12/11/93,1.5943
19/11/93,1.5998
26/11/93,1.5992
3/12/93,1.6012
10/12/93,1.5984
17/12/93,1.5942
24/12/93,1.5944
31/12/93,1.608
7/1/94,1.5968
14/1/94,1.6066
21/1/94,1.6057
28/1/94,1.5943
4/2/94,1.5876
9/2/94,1.588
18/2/94,1.588
25/2/94,1.5858
4/3/94,1.5829
11/3/94,1.5841
18/3/94,1.5835
25/3/94,1.5811
31/3/94,1.5692
8/4/94,1.5707
15/4/94,1.5618
22/4/94,1.5593
29/4/94,1.5549
6/5/94,1.5568
13/5/94,1.5533
20/5/94,1.5401
27/5/94,1.5372
3/6/94,1.5358
10/6/94,1.5347
17/6/94,1.5327
24/6/94,1.5272
1/7/94,1.5236
8/7/94,1.5208
15/7/94,1.5143
22/7/94,1.5118
29/7/94,1.5132
5/8/94,1.5086
12/8/94,1.5058
19/8/94,1.5032
26/8/94,1.4996
2/9/94,1.4997
9/9/94,1.4992
16/9/94,1.4862
23/9/94,1.4768
30/9/94,1.4838
7/10/94,1.4823
14/10/94,1.4777
21/10/94,1.4728
28/10/94,1.4713
4/11/94,1.4689
11/11/94,1.4705
18/11/94,1.4718
25/11/94,1.4644
2/12/94,1.4658
9/12/94,1.4705
16/12/94,1.4659
23/12/94,1.4633
30/12/94,1.4607
6/1/95,1.4527
13/1/95,1.4635
20/1/95,1.4493
27/1/95,1.4514
3/2/95,1.4531
10/2/95,1.4525
17/2/95,1.4513
24/2/95,1.4516
2/3/95,1.4497
10/3/95,1.417
17/3/95,1.4118
24/3/95,1.4175
31/3/95,1.4191
7/4/95,1.4028
13/4/95,1.3975
21/4/95,1.399
28/4/95,1.3923
5/5/95,1.3899
12/5/95,1.4097
19/5/95,1.3936
26/5/95,1.3901
2/6/95,1.3905
9/6/95,1.3918
16/6/95,1.3962
23/6/95,1.3978
30/6/95,1.3965
7/7/95,1.3985
14/7/95,1.3985
21/7/95,1.401
28/7/95,1.3942
4/8/95,1.3987
11/8/95,1.3982
18/8/95,1.4273
25/8/95,1.4248
1/9/95,1.4226
8/9/95,1.4258
15/9/95,1.4354
22/9/95,1.4371
29/9/95,1.4205
6/10/95,1.4295
13/10/95,1.426
20/10/95,1.4233
27/10/95,1.4142
3/11/95,1.4173
10/11/95,1.4123
17/11/95,1.412
24/11/95,1.4118
1/12/95,1.4123
8/12/95,1.4129
15/12/95,1.4161
22/12/95,1.4151
29/12/95,1.4143
5/1/96,1.4264
12/1/96,1.4243
19/1/96,1.4224
26/1/96,1.419
2/2/96,1.4186
9/2/96,1.4167
16/2/96,1.4129
23/2/96,1.4074
1/3/96,1.4131
8/3/96,1.4092
15/3/96,1.4079
22/3/96,1.4107
29/3/96,1.408
4/4/96,1.405
12/4/96,1.409
19/4/96,1.4081
26/4/96,1.408
3/5/96,1.4056
10/5/96,1.4045
17/5/96,1.408
24/5/96,1.4098
30/5/96,1.4097
7/6/96,1.4087
14/6/96,1.4082
21/6/96,1.4088
28/6/96,1.4099
5/7/96,1.4135
12/7/96,1.4167
19/7/96,1.4186
26/7/96,1.416
2/8/96,1.4145
8/8/96,1.4171
16/8/96,1.4185
23/8/96,1.4108
30/8/96,1.4073
6/9/96,1.4059
13/9/96,1.4106
20/9/96,1.4084
27/9/96,1.408
4/10/96,1.4097
11/10/96,1.4083
18/10/96,1.4145
25/10/96,1.4161
1/11/96,1.4088
8/11/96,1.4024
15/11/96,1.4003
22/11/96,1.4006
29/11/96,1.4025
6/12/96,1.3999
13/12/96,1.3993
20/12/96,1.3996
27/12/96,1.3995
3/1/97,1.3998
10/1/97,1.4056
17/1/97,1.4052
24/1/97,1.4082
31/1/97,1.4085
6/2/97,1.4125
14/2/97,1.4182
21/2/97,1.4239
28/2/97,1.4248
7/3/97,1.4312
14/3/97,1.4353
21/3/97,1.4462
27/3/97,1.4477
4/4/97,1.4373
11/4/97,1.4373
17/4/97,1.4415
25/4/97,1.4446
2/5/97,1.4466
9/5/97,1.4418
16/5/97,1.4327
23/5/97,1.4327
30/5/97,1.43
6/6/97,1.4295
13/6/97,1.4241
20/6/97,1.427
27/6/97,1.4265
4/7/97,1.4327
11/7/97,1.4331
18/7/97,1.4612
25/7/97,1.4735
1/8/97,1.469
8/8/97,1.4775
15/8/97,1.5202
22/8/97,1.503
29/8/97,1.5285
5/9/97,1.5203
12/9/97,1.514
19/9/97,1.519
26/9/97,1.5185
3/10/97,1.5362
10/10/97,1.5295
17/10/97,1.552
24/10/97,1.5818
31/10/97,1.5885
7/11/97,1.573
14/11/97,1.5815
21/11/97,1.5935
28/11/97,1.5917
5/12/97,1.6195
12/12/97,1.644
19/12/97,1.675
26/12/97,1.668
2/1/98,1.692
9/1/98,1.7655
16/1/98,1.7555
23/1/98,1.7665
27/1/98,1.7545
6/2/98,1.665
13/2/98,1.6685
20/2/98,1.638
27/2/98,1.619
6/3/98,1.655
13/3/98,1.624
20/3/98,1.609
27/3/98,1.5943
3/4/98,1.632
9/4/98,1.594
17/4/98,1.607
24/4/98,1.5877
30/4/98,1.5847
8/5/98,1.622
15/5/98,1.648
